Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Default Suite,Chrome 92.0.4515.159,,,2021-08-19 15:46:01,2021-08-19 15:46:17,15.976s,PASSED
,,,,,,,
Test Cases/Imported from Selenium IDE Scripts/Default Suite/GoogleBasic,Chrome 92.0.4515.159,,,2021-08-19 15:46:02,2021-08-19 15:46:17,14.678s,PASSED
"""----------------------------------------------------""",Chrome 92.0.4515.159,,,2021-08-19 15:46:05,2021-08-19 15:46:05,0.004s,PASSED
"""This test case script is generated by Katalon Studio""",Chrome 92.0.4515.159,,,2021-08-19 15:46:05,2021-08-19 15:46:05,0.007s,PASSED
"""Generated date: 19-Aug-2021 03:45:08 PM""",Chrome 92.0.4515.159,,,2021-08-19 15:46:05,2021-08-19 15:46:05,0.002s,PASSED
"""File path: C:\Users\aRath\Downloads\KatalonImport.side""",Chrome 92.0.4515.159,,,2021-08-19 15:46:05,2021-08-19 15:46:05,0.000s,PASSED
"""Generated by: andrew.rath@arrayinfotech.com""",Chrome 92.0.4515.159,,,2021-08-19 15:46:05,2021-08-19 15:46:05,0.010s,PASSED
"baseUrl = ""https://www.google.com""",Chrome 92.0.4515.159,----------------------------------------------------,,2021-08-19 15:46:05,2021-08-19 15:46:05,0.008s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-08-19 15:46:05,2021-08-19 15:46:11,6.262s,PASSED
selenium = new com.kms.katalon.core.webui.driver.KatalonWebDriverBackedSelenium(baseUrl),Chrome 92.0.4515.159,,,2021-08-19 15:46:11,2021-08-19 15:46:11,0.372s,PASSED
"selenium.open(""/"")",Chrome 92.0.4515.159,open | / |  | ,,2021-08-19 15:46:11,2021-08-19 15:46:13,1.578s,PASSED
"""setWindowSize | 945x1020 |  | """,Chrome 92.0.4515.159,,,2021-08-19 15:46:13,2021-08-19 15:46:13,0.003s,PASSED
"selenium.type(""name=q"", ""katalon studio tutorial"")",Chrome 92.0.4515.159,type | name=q | katalon studio tutorial | ,,2021-08-19 15:46:13,2021-08-19 15:46:13,0.307s,PASSED
"selenium.sendKeys(""name=q"", ENTER)",Chrome 92.0.4515.159,sendKeys | name=q | KEY_ENTER | ,,2021-08-19 15:46:13,2021-08-19 15:46:15,2.391s,PASSED
"selenium.mouseOver(""css=.RzdJxc:nth-child(1) .WZIVy"")",Chrome 92.0.4515.159,mouseOver | css=.RzdJxc:nth-child(1) .WZIVy |  | ,,2021-08-19 15:46:15,2021-08-19 15:46:16,0.630s,PASSED
"selenium.mouseOut(""css=.RzdJxc:nth-child(1) .WZIVy"")",Chrome 92.0.4515.159,mouseOut | css=.RzdJxc:nth-child(1) .WZIVy |  | ,,2021-08-19 15:46:16,2021-08-19 15:46:16,0.363s,PASSED
selenium.close(),Chrome 92.0.4515.159,close |  |  | ,,2021-08-19 15:46:16,2021-08-19 15:46:17,0.244s,PASSED
Start listener action : sampleAfterTestCase,Chrome 92.0.4515.159,,,2021-08-19 15:46:17,2021-08-19 15:46:17,0.016s,PASSED
